# БАРЬЕР ХУНГАРОРИНГА — ЗАМЕР ПО СНИМКУ (этап 3, v1.16.7, 09.2026).
# S — метры от линии старта ИГРЫ; off — отступ отбойника/стены/шин от осевой ИГРЫ, м
# (кромка полотна на 6.0). Между точками — линейно. Снято глазом по развёртке
# Google z20 вдоль осевой (strip.py — метровые засечки, plan.py — кольца отступа
# в поворотах), тип борта сверен с онбоардом 2025 (кадр → S в onboard/kadry.tsv)
# и видами 3ddigitalvenue. Точность ~1 м (посадка осевой ±0.8 м плюс глаз).
# Что это за линия: у трибун — армко (ближняя из двух линий; дальняя, на 2-3 м
# дальше, — сетка); напротив — синяя бетонная стена; в зонах вылета — шины.
# S	сторона	off	что
0	L	10.3	армко у главной трибуны, трава
250	L	11	конец трибуны
300	L	11	армко (кадр 12: ~5 м травы до борта)
560	L	10.5	перед T1
565	L	12
575	L	17	T1: асфальтовый вылет раскрывается (угол площадки; строитель ведёт стену не круче 0.55 м на метр)
585	L	25
595	L	33
605	L	40	шины снаружи T1 (plan.py 600-820)
620	L	42
640	L	36
660	L	30
680	L	28
700	L	25
720	L	23
740	L	22
760	L	21.5
790	L	19.5	трава, армко
900	L	20
960	L	20.5
1040	L	20
1060	L	16	внутри T2
1090	L	14
1120	L	12.5
1150	L	11.5
1180	L	10.5
1240	L	10.8
1260	L	11	деревья
1285	L	11
1295	L	22	T3: вылет раскрывается
1305	L	35
1320	L	45
1340	L	40	шины
1360	L	35
1380	L	30
1400	L	25
1420	L	20
1440	L	16
1460	L	15.5
1540	L	14
1640	L	12
1740	L	11.5
1750	L	14
1815	L	11.3	шины
1925	L	11.3
1960	L	12
1990	L	14
2000	L	25	T5: светлый бетон раскрывается
2010	L	40
2024	L	50	шины
2040	L	50
2060	L	36
2082	L	24
2100	L	21.8
2140	L	16
2179	L	10.6	конец шин, дальше армко
2300	L	10.5	трибуна Chicane
2345	L	11
2352	L	16	T6: гравий раскрывается
2362	L	24
2372	L	20	дальше левая сторона — ВНУТРЕННЯЯ у T7 (радиус ~20 м):
2382	L	14	строитель всё равно не пустит отступ дальше 0.7 радиуса
2410	L	14
2425	L	20
2440	L	24
2452	L	18
2461	L	12.3	шины сходятся к армко
2467	L	10.6
2640	L	10.6
2695	L	11.3
2700	L	25	T9: светлый бетон
2710	L	40
2724	L	40	шины
2750	L	32
2780	L	24
2813	L	18
2850	L	14
2882	L	10.6
3020	L	10.4
3035	L	20	T11: асфальт раскрывается
3050	L	40
3100	L	45
3140	L	42	шины
3160	L	35
3180	L	28
3200	L	22
3220	L	17.6
3248	L	14.8
3290	L	12	трибуна Fan
3310	L	10.6
3480	L	10.6
3486	L	14	T12: бетон раскрывается
3492	L	25
3500	L	38	шины
3530	L	32
3560	L	25.5
3580	L	28
3600	L	25
3620	L	23
3656	L	17.6
3681	L	18.3	конец шин
3720	L	16.5
3780	L	15
3825	L	12
3840	L	10.8
3960	L	11.3
3975	L	12	T14: асфальт раскрывается
3985	L	25
3995	L	32	угол асфальтового клина (plan.py 3990-4130)
4010	L	25	шины идут дугой ~22 м вокруг всего T14
4030	L	22
4090	L	22
4110	L	19
4130	L	16
4160	L	16.2
4260	L	16
4280	L	12.5
4320	L	11.5
4340	L	10.3	главная трибуна
0	R	8.5	стена пит-лейна, между ней и полотном асфальт
290	R	8.5
300	R	15	за выездом с пит-лейна
380	R	14.5	кадр 12
480	R	14
560	R	14
580	R	17	внутри T1
700	R	17
740	R	14
750	R	10.4	синяя стена (кадр 29: ~4 м травы)
925	R	10	до моста
945	R	8	после моста
960	R	8.3	стена сразу за поребриком (кадр 35)
1045	R	8.3
1065	R	8.5	стена идёт до угла площадки T2
1075	R	20	T2: асфальт (в 2025 синий, кадр 40)
1085	R	36	шины
1100	R	37
1120	R	29
1130	R	33	второй кусок шин
1140	R	35
1150	R	31
1160	R	27
1170	R	23
1182	R	19.5
1200	R	18
1220	R	16
1240	R	14
1250	R	15	внутри T3
1300	R	18
1330	R	20
1346	R	20.7
1380	R	17
1423	R	12
1440	R	14	шины
1460	R	10.4
1640	R	10.4
1760	R	10.4
1776	R	9.5
1790	R	12	T4: светлый бетон раскрывается
1800	R	25
1810	R	45
1822	R	58	шины
1850	R	52
1880	R	43
1910	R	33
1945	R	24
1990	R	22	внутри T5
2010	R	24.5
2040	R	24
2070	R	22
2100	R	15
2141	R	10
2240	R	10
2270	R	11	T6 внутри: стена ровной дугой ~11.5 м (v1.16.9, владелец: «выступ, как был в T12»). Замер 22 м (v1.16.7),
2300	R	11.5	но радиус T6 ~17 м, и строитель режет стену до 0.7R = 11.7 в апексе: с 22 до 11.7 за 20 м — зуб к трассе.
2362	R	11.5	Прямая перемычка «как в жизни» стоила бы +1 вызов; взята дуга, как в T12.
2390	R	15.7
2400	R	15.7
2440	R	14
2520	R	14
2545	R	12
2560	R	18	T8: светлый бетон
2575	R	36	шины
2600	R	28
2620	R	23
2640	R	19.5
2660	R	21
2683	R	25.8
2730	R	23
2763	R	17
2820	R	14
2880	R	14
2900	R	22	T10: гравий
2920	R	38	шины
2968	R	34
3000	R	27
3020	R	23
3040	R	20
3080	R	20	внутри T11
3120	R	16
3160	R	15
3200	R	13
3220	R	15	шины
3244	R	9.8	армко напротив Fan
3420	R	9.7
3437	R	10
3450	R	13.5	T12 внутри: стена ровной дугой ~16 м (v1.16.8, владелец). В жизни она в 30-35 м и идёт мимо поворота почти прямо,
3470	R	15.5	но лента на отступе больше радиуса (R≈24) выворачивается, и строитель резал её до 0.7R — провал к трассе в апексе.
3480	R	16	Прямая перемычка стоила бы +1 вызов отрисовки; выбрана дуга (замер 30 м см. историю, v1.16.7).
3500	R	16
3512	R	17
3546	R	27	шины
3580	R	20
3604	R	16.6
3622	R	13
3660	R	12
3700	R	12.5
3715	R	18	T13: тёмный асфальт
3736	R	32	шины
3745	R	36
3760	R	26
3788	R	21
3800	R	17	въезд на пит-лейн
3816	R	13.5
3894	R	15.3
3960	R	12.5	стена пит-лейна внутри T14 (кадр 144)
4140	R	12.5
4200	R	13
4210	R	9	стена пит-лейна вдоль прямой
4362	R	8.8
